"Kanji","Meaning_JP","Meaning_EN","Meaning_ES","Meaning_FR","Meaning_DE","Meaning_IT","Meaning_TL","Meaning_PT","Meaning_TR","Meaning_AR","Meaning_SV","Meaning_NL","Meaning_PL","Meaning_NO","Meaning_HU","Meaning_HE","Meaning_RU","Meaning_LT"
"編","言葉や思いを紡ぎ、物語を織りなす創造の力","The creative power to weave words and thoughts into stories.","El poder creativo de entrelazar palabras y pensamientos en historias.","Le pouvoir créatif de tisser les mots et les pensées en histoires.","Die schöpferische Kraft, Worte und Gedanken zu Geschichten zu verweben.","La forza creativa di intrecciare parole e pensieri in storie.","Malikhain na kapangyarihan na naghahabi ng mga salita at kaisipan tungo sa mga kuwento.","O poder criativo de tecer palavras e pensamentos em histórias.","Sözleri ve düşünceleri öykülere dönüştüren yaratıcı güç.","القوة الإبداعية التي تنسج الكلمات والأفكار في قصص.","Den skapande kraften som väver ord och tankar till berättelser.","De creatieve kracht om woorden en gedachten tot verhalen te weven.","Twórcza moc przeplatania słów i myśli w opowieści.","Den skapende kraften som vever ord og tanker inn i fortellinger.","Az a teremtő erő, amely szavakat és gondolatokat történetekké szövi.","הכוח היצירתי השוזר מילים ומחשבות לסיפורים.","Творческая сила сплетать слова и мысли в истории.","Kūrybinė galia pinti žodžius ir mintis į istorijas."
"幸","幸福を分かち合い、人生を温かく照らす光","A light that shares happiness and warmly illuminates life.","Una luz que comparte felicidad e ilumina la vida con calidez.","Une lumière qui partage le bonheur et éclaire la vie avec chaleur.","Ein Licht, das Glück teilt und das Leben warm erhellt.","Una luce che condivide la felicità e illumina la vita con calore.","Liwanag na naghahati-hati ng kaligayahan at mainit na nagbibigay-liwanag sa buhay.","Uma luz que partilha felicidade e ilumina a vida com calor.","Mutluluğu paylaşan ve yaşamı sıcakça aydınlatan bir ışık.","نور يشارك السعادة ويضيء الحياة بدفء.","Ett ljus som delar glädje og varmt lyser upp livet.","Een licht dat geluk deelt en het leven warm verlicht.","Światło, które dzieli się szczęściem i ciepło rozświetla życie.","Et lys som deler glede og varmer opp livet.","Fény, amely megosztja a boldogságot, és melegen beragyogja az életet.","אור שמשתף אושר ומאיר את החיים בחום.","Свет, который делится счастьем и тепло освещает жизнь.","Šviesa, dalijanti laimę ir šiltai apšviečianti gyvenimą."
"都","人々が集い、文化と縁を育む賑わいの場","A lively place where people gather, nurturing culture and connections.","Un lugar animado donde las personas se reúnen y cultivan cultura y lazos humanos.","Un lieu vivant où les gens se rassemblent, nourrissant culture et liens.","Ein lebendiger Ort, an dem Menschen zusammenkommen und Kultur sowie Beziehungen pflegen.","Un luogo vivace dove le persone si raccolgono, coltivando cultura e relazioni.","Masiglang lugar kung saan nagtitipon ang mga tao at umuusbong ang kultura at ugnayan.","Um lugar vibrante onde as pessoas se reúnem e cultivam cultura e conexões.","İnsanların toplandığı, kültürün ve bağların büyüdüğü canlı bir yer.","مكان حيوي يجتمع فيه الناس وتنمو בו الثقافة والروابط.","En livlig plats där människor samlas och där kultur och relationer får växa.","Een levendige plek waar mensen samenkomen en cultuur en verbindingen groeien.","Tętniące życiem miejsce, gdzie ludzie się spotykają, pielęgnując kulturę i więzi.","Et livlig sted der mennesker samles, og kultur og relasjoner får vokse.","Egy pezsgő hely, ahol az emberek összegyűlnek, és a kultúra meg a kapcsolatok fejlődnek.","מקום תוסס שבו אנשים מתכנסים והתרבות והקשרים צומחים.","Оживленное место, где собираются люди, взращивая культуру и связи.","Gyvybinga vieta, kur renkasi žmonės, puoselėjantys kultūrą ir ryšius."
"麗","美しく輝き、周囲に優雅さと魅力を届ける心","A heart that shines beautifully, offering grace and charm to those around.","Un corazón que brilla con belleza y ofrece gracia y encanto a quienes lo rodean.","Un cœur qui brille de beauté et offre grâce et charme à ceux qui l’entourent.","Ein Herz, das schön strahlt und seiner Umgebung Anmut und Charme schenkt.","Un cuore che risplende di bellezza, donando eleganza e fascino a chi lo circonda.","Pusong kumikislap sa kagandahan at nag-aalay ng biyaya at alindog sa mga nasa paligid.","Um coração que brilha em beleza, oferecendo graça e encanto a quem está ao redor.","Güzellikle parlayan, çevresine zarafet ve çekicilik sunan bir kalp.","قلب يلمع بالجمال ويمنح من حوله رِقّة وجاذبية.","Ett hjärta som lyser av skönhet och skänker grace och charm till omgivningen.","Een hart dat straalt van schoonheid en gratie en charme schenkt aan de omgeving.","Serce, które jaśnieje pięknem, obdarzając otoczenie wdziękiem i urokiem.","Et hjerte som skinner vakkert og gir nåde og sjarm til dem rundt seg.","Szív, amely szépséggel ragyog, és kecsességet meg bájt áraszt a környezetére.","לב הזוהר ביופיו ומעניק חן וקסם לסביבתו.","Сердце, которое прекрасно сияет, предлагая грацию и очарование окружающим.","Širdis, nuostabiai spindinti, teikianti grakštumą ir žavesį aplinkiniams."
"珠","小さくとも光を放ち、真価を秘める宝の象徴","A symbol of treasure that, though small, radiates light and holds true value.","Un símbolo de tesoro que, aunque pequeño, irradia luz y guarda un valor verdadero.","Un symbole de trésor qui, bien que petit, rayonne de lumière et porte une véritable valeur.","Ein Schatzsymbol, das, obwohl klein, Licht ausstrahlt und wahren Wert in sich trägt.","Un simbolo di tesoro che, pur essendo piccolo, irradia luce e racchiude un vero valore.","Isang sagisag ng kayamanan na kahit maliit ay nagliliwanag at may tunay na halaga.","Um símbolo de tesouro que, embora pequeno, irradia luz e guarda um verdadeiro valor.","Küçük olsa da ışık saçan ve gerçek değer taşıyan bir hazine sembolü.","رمز لكنز، رغم صغره يشع نورًا ويحمل قيمة حقيقية.","En skatt-simbol som, trots sin litenhet, strålar av ljus och bär på verkligt värde.","Een schatsymbool dat, hoe klein ook, licht uitstraalt en ware waarde in zich draagt.","Symbol skarbu, który mimo niewielkich rozmiarów promienieje światłem i niesie prawdziwą wartość.","Et skattesymbol som, selv om det er lite, stråler av lys og har ekte verdi.","A kincs jelképe, amely kicsi ugyan, de fényt sugároz és valódi értéket hordoz.","סמל לאוצר שעם היותו קטן מקרין אור ונושא ערך אמיתי.","Символ сокровища, которое, хоть и мало, излучает свет и несет истинную ценность.","Lobis, kuris nors ir mažas, skleidžia šviesą ir turi tikrąją vertę."
"任","責任を果たし、信頼を築く誠実な精神","A sincere spirit that fulfills responsibility and builds trust.","Un espíritu sincero que cumple con sus responsabilidades и construye confianza.","Un esprit sincère qui assume ses responsabilités et construit la confiance.","Ein aufrichtiger Geist, der Verantwortung erfüllt und Vertrauen aufbaut.","Uno spirito sincero che adempie alle proprie responsabilità e costruisce fiducia.","Tapat na diwa na tumutupad sa pananagutan at nagtatatag ng tiwala.","Um espírito sincero que cumpre suas responsabilidades e constrói confiança.","Sorumluluklarını yerine getiren ve güven inşa eden içten bir ruh.","روح صادقة تفي بالمسؤوليات وتبني ثقة.","En uppriktig anda som tar ansvar och bygger tillit.","Een oprechte geest die zijn verantwoordelijkheden nakomt en vertrouwen opbouwt.","Szczery duch, który wypełnia swoje obowiązki i buduje zaufanie.","En oppriktig ånd som tar ansvar og bygger tillit.","Őszinte lélek, amely teljesíti felelősségeit és bizalmat épít.","רוח כן שמקיימת אחריות ובונה אמון.","Искренний дух, который выполняет ответственность и строит доверие.","Nuoširdi dvasia, vykdanti atsakomyę ir kurianti pasitikėjimą."
"来","新しい未来を呼び寄せ、希望を運ぶ力","The power to summon a new future and carry hope.","El poder de llamar a un nuevo futuro y llevar esperanza.","Le pouvoir d’appeler un nouvel avenir et de porter l’espoir.","Die Kraft, eine neue Zukunft herbeizurufen und Hoffnung zu tragen.","Il potere di richiamare un nuovo futuro e portare speranza.","Lakas na tumatawag ng bagong kinabukasan at nagdadala ng pag-asa.","O poder de chamar um novo futuro e carregar esperança.","Yeni bir geleceği çağıran ve umut taşıyan güç.","القوة لاستدعاء مستقبل جديد وحمل الأمل.","Kraften att kalla fram en ny framtid och bära hopp.","De kracht om een nieuwe toekomst op te roepen en hoop mee te dragen.","Siła, by przywołać nową przyszłość i nieść nadzieję.","Kraften til å kalle fram en ny framtid og bære håp.","Az erő, amely új jövőt hív elő és reményt hordoz.","הכוח לזמן עתיד חדש ולשאת תקווה.","Сила призывать новое будущее и нести надежду.","Galia prišaukti naują ateitį ir nešti viltį."
"愛","無償の愛を注ぎ、周囲に温かさを広げる存在","A being who pours unconditional love, spreading warmth to those around.","Un ser que derrama amor incondicional y esparce calor a quienes lo rodean.","Un être qui répand un amour inconditionnel et diffuse de la chaleur à son entourage.","Ein Wesen, das bedingungslose Liebe verströmt und Wärme an seine Mitmenschen weitergibt.","Un essere che riversa amore incondizionato e diffonde calore a chi lo circonda.","Isang nilalang na nagbubuhos ng walang kondisyong pag-ibig at nagbibigay-init sa mga nasa paligid.","Um ser que derrama amor incondicional e espalha calor a todos ao redor.","Koşulsuz sevgi saçan ve çevresine sıcaklık yayan bir varlık.","كائن يفيض حباً غير مشروط وينشر الدفء لمن סביבه.","En varelse som utgjuter villkorslös kärlek och sprider värme till dem omkring sig.","Een wezen dat onvoorwaardelijke liefde uitstort en warmte verspreidt naar de mensen om zich heen.","Istota, która wylewa bezwarunkową miłość i roztacza ciepło wokół siebie.","Et vesen som øser ut betingelsesløs kjærlighet og sprer varme til dem rundt seg.","Lény, aki feltétel nélküli szeretetet áraszt, és meleget visz a körülötte lévőknek.","ישות השופכת אהבה בלתי מותנית ומפיצה חום לסובבים אותה.","Существо, которое изливает безусловную любовь, распространяя тепло вокруг.","Būtybė, liejanti besąlygišką meilę, skleidžianti šilumą aplinkiniams."
"無","限りない可能性を秘め、自由に広がる精神","A spirit holding infinite possibilities, expanding freely.","Un espíritu que contiene posibilidades infinitas y se expande libremente.","Un esprit porteur de possibilités infinies, qui se déploie librement.","Ein Geist voller unendlicher Möglichkeiten, der sich frei entfaltet.","Uno spirito colmo di possibilità infinite che si espande liberamente.","Isang diwang naglalaman ng walang hanggang posibilidad at malayang lumalawak.","Um espírito que guarda possibilidades infinitas e se expande livremente.","Sonsuz olasılıkları içinde barındıran ve özgürce genişleyen bir ruh.","روح تحمل إمكانيات لا نهائية وتتسع بحرية.","En ande som bär oändliga möjligheter och fritt breder ut sig.","Een geest die oneindige mogelijkheden draagt en zich vrij uitbreidt.","Duch niosący nieskończone możliwości, który swobodnie się rozwija.","En ånd som rommer uendelige muligheter og utvider seg fritt.","Lélek, amely végtelen lehetőségeket hordoz, és szabadon tágul.","רוח הנושאת אינסוף אפשרויות ומתפשטת בחופשיות.","Дух, хранящий бесконечные возможности, свободно расширяющийся.","Dvasia, turinti begalines galimybes, laisvai besiplečianti."
"那","柔らかな響きで、人々に親しみを与える心","A gentle resonance that brings familiarity and kindness to people.","Una resonancia suave que aporta cercanía y amabilidad a las personas.","Une résonance douce qui apporte proximité et bienveillance aux gens.","Eine sanfte Resonanz, die den Menschen Vertrautheit und Freundlichkeit schenkt.","Una risonanza delicata che dona familiarità e gentilezza alle persone.","Banayad na pag-alon na nagdudulot ng pagiging pamilyar at kabaitan sa mga tao.","Uma ressonância suave que traz proximidade e gentileza às pessoas.","İnsanlara yakınlık ve nezaket getiren yumuşak bir rezonans.","اهتزاز لطيف يجلب الألفة واللطف للناس.","En mild resonans som skapar närhet och vänlighet hos människor.","Een zachte resonantie die mensen een gevoel van nabijheid en vriendelijkheid geeft.","Delikatny rezonans, który wnosi do ludzi poczucie bliskości i życzliwości.","En mild resonans som gir mennesker nærhet og vennlighet.","Gyengéd rezonancia, amely közelséget és kedvességet hoz az embereknek.","תהודה עדינה המביאה תחושת קרבה וטוב לב לאנשים.","Нежный резонанс, приносящий людям близость и доброту.","Švelnus atgarsis, teikiantis žmonėms artumą ir gerumą."
"偉","大きな志と行動力で、人々を導く力強い存在","A powerful presence that guides people with great ambition and drive.","Una presencia poderosa que guía a las personas con gran ambición y empuje.","Une présence puissante qui guide les gens avec une grande ambition et une forte détermination.","Eine kraftvolle Präsenz, die Menschen mit großem Ehrgeiz und Antrieb führt.","Una presenza potente che guida le persone con grande ambizione e determinazione.","Makapangyarihang presensya na gumagabay sa mga tao na may matinding ambisyon at sigla.","Uma presença poderosa que guia as pessoas com grande ambição e impulso.","Büyük hırs ve itici güçle insanlara yol gösteren güçlü bir varlık.","حضور قوي يوجّه الناس بطموح كبير ودافع قوي.","En kraftfull närvaro som leder människor med stor ambition och drivkraft.","Een krachtige aanwezigheid die mensen leidt met grote ambitie en drive.","Silna obecność, która prowadzi ludzi z wielką ambicją i energią.","En kraftfull tilstedeværelse som leder mennesker med stor ambisjon og drivkraft.","Erőteljes jelenlét, amely nagy ambícióval és lendülettel vezeti az embereket.","נוכחות עוצמתית שמכוונת אנשים עם שאיפה גדולה ודחף פנימי.","Мощное присутствие, которое направляет людей с большими амбициями и драйвом.","Galingas buvimas, vedantis žmones su didelėmis ambicijomis ir ryžtu."
"出","新しい世界へ踏み出し、可能性を広げる一歩","A step into a new world, expanding possibilities.","Un paso hacia un nuevo mundo que amplía las posibilidades.","Un pas vers un nouveau monde qui élargit les possibilités.","Ein Schritt in eine neue Welt, der die Möglichkeiten erweitert.","Un passo verso un nuovo mondo che amplia le possibilità.","Isang hakbang patungo sa bagong mundo na nagpapalawak ng mga posibilidad.","Um passo para um novo mundo que expande as possibilidades.","Yeni bir dünyaya atılan ve olasılıkları genişleten bir adım.","خطوة نحو عالم جديد توسّع الإمكانيات.","Ett steg in i en ny värld som vidgar möjligheterna.","Een stap in een nieuwe wereld die de mogelijkheden vergroot.","Krok w nowy świat, który poszerza możliwości.","Et steg inn i en ny verden som utvider mulighetene.","Egy lépés egy új világ felé, amely kitágítja a lehetőségeket.","צעד אל עולם חדש המרחיב את האפשרויות.","Шаг в новый мир, расширяющий возможности.","Žingsnis į naują pasaulį, plečiantis galimybes."
"素","飾らず清らかに、本質を大切にする心","A heart that remains pure and unadorned, cherishing essence.","Un corazón que permanece puro y sencillo, apreciando la esencia.","Un cœur qui reste pur et simple, chérissant l’essentiel.","Ein Herz, das unverfälscht und schlicht bleibt und das Wesentliche wertschätzt.","Un cuore che rimane puro e semplice, apprezzando l’essenza.","Pusong nananatiling payak at dalisay, pinahahalagahan ang pinakadiwa.","Um coração que permanece puro e simples, valorizando a essência.","Saf ve süssüz kalan, özüne değer veren bir kalp.","قلب يبقى نقيًا وبسيطًا، يقدّر الجوهر.","Ett hjärta som förblir rent och enkelt och värnar om det väsentliga.","Een hart dat puur en onopgesmukt blijft en de essentie koestert.","Serce, które pozostaje czyste i proste, ceniąc istotę rzeczy.","Et hjerte som forblir rent og enkelt og verdsetter selve essensen.","Olyan szív, amely tiszta és dísztelen marad, és az esszenciát értékeli.","לב שנשאר טהור ופשוט ומוקיר את המהות.","Сердце, которое остается чистым и не украшенным, дорожа сущностью.","Širdis, išliekanti tyra ir nepuošni, branginanti esmę."
"輝","光を放ち、周囲を照らす希望の象徴","A symbol of hope, shining light upon those around.","Un símbolo de esperanza que irradia luz a quienes lo rodean.","Un symbole d’espoir qui répand sa lumière autour de lui.","Ein Symbol der Hoffnung, das Licht auf die Menschen ringsum wirft.","Un simbolo di speranza che diffonde la sua luce a chi gli sta intorno.","Isang sagisag ng pag-asa na nagliliwanag sa mga nasa paligid.","Um símbolo de esperança que irradia luz a todos ao redor.","Etrafındakilere ışık saçan bir umut simgesi.","رمز للأمل ينشر نوره على من حوله.","En symbol för hopp som sprider sitt ljus till dem runt omkring.","Een symbool van hoop dat zijn licht uitstraalt naar de mensen om zich heen.","Symbol nadziei, który rzuca światło na otaczających go ludzi.","Et symbol på håp som lar sitt lys falle på dem rundt seg.","A remény szimbóluma, amely fényt áraszt a körülötte lévők felé.","סמל לתקווה המפיץ את אורו לסובבים.","Символ надежды, сияющий светом на окружающих.","Vilties simbolis, spinduliuojantis šviesą aplinkiniams."
"真","嘘偽りなく、誠実に生きる姿勢","A way of life that is honest and sincere.","Una forma de vida honesta y sincera.","Une façon de vivre honnête et sincère.","Eine Lebensweise, die ehrlich und aufrichtig ist.","Uno stile di vita onesto e sincero.","Pamumuhay na tapat at taos-puso.","Um modo de vida honesto e sincero.","Dürüst ve içten bir yaşam tarzı.","أسلوب حياة يتسم بالصدق والإخلاص.","Ett sätt att leva som är ärligt och uppriktigt.","Een manier van leven die eerlijk en oprecht is.","Sposób życia oparty na uczciwości i szczerości.","En livsstil som er ærlig og oppriktig.","Életmód, amely őszinte és becsületes.","אופן חיים המבוסס על יושר וכנות.","Образ жизни, честный и искренний.","Gyvenimo būdas, sąžiningas ir nuoširdus."
"沙","柔らかな砂のように、穏やかで包容力のある心","A heart as gentle and embracing as soft sand.","Un corazón tan suave y acogedor como arena fina.","Un cœur doux et enveloppant comme un sable fin.","Ein Herz so sanft und umarmend wie feiner Sand.","Un cuore tenero e accogliente come sabbia soffice.","Pusong banayad at mapagkupkop na parang pinong buhangin.","Um coração gentil e acolhedor como areia macia.","Yumuşak kum gibi nazik ve kucaklayıcı bir kalp.","قلب لطيف ومُحِيط مثل رمل ناعم.","Ett hjärta lika milt och omfamnande som mjuk sand.","Een hart zo zacht en omarmend als fijn zand.","Serce łagodne i otulające niczym miękki piasek.","Et hjerte som er like mildt og omsluttende som myk sand.","Olyan szív, amely olyan gyengéd és befogadó, mint a puha homok.","לב עדין ומחבק כמו חול רך.","Сердце, нежное и обволакивающее, как мягкий песок.","Širdis, švelni ir apkabinanti kaip minkštas smėlis."
"露","朝露のように清らかで、生命を潤す存在","Pure like morning dew, a presence that nourishes life.","Pura como el rocío de la mañana, una presencia que nutre la vida.","Pure comme la rosée du matin, une présence qui nourrit la vie.","So rein wie Morgentau, eine Präsenz, die das Leben nährt.","Pura come la rugiada del mattino, una presenza che nutre la vita.","Dalisay na parang hamog sa umaga, isang presensiyang nagbibigay-buhay.","Pura como o orvalho da manhã, uma presença que nutre a vida.","Sabah çiyi kadar saf, yaşamı besleyen bir varlık.","نقية كرذاذ الصباح، حضور يغذي الحياة.","Ren som morgondagg, en närvaro som ger näring åt livet.","Zo puur als ochtenddauw, een aanwezigheid die het leven voedt.","Czysta jak poranna rosa, obecność, która karmi życie.","Ren som morgendugg, en tilstedeværelse som nærer livet.","Olyan tiszta, mint a hajnali harmat, egy jelenlét, amely táplálja az életet.","טהורה כמו טל הבוקר, נוכחות המזינה את החיים.","Чистый, как утренняя роса, присутствие, питающее жизнь.","Tyras kaip ryto rasa, buvimas, maitinantis gyvenimą."
"螺","螺旋のように成長を重ね、奥深い知恵を育む力","A spiraling growth that nurtures profound wisdom.","Un crecimiento en espiral que cultiva una sabiduría profunda.","Une croissance en spirale qui fait mûrir une sagesse profonde.","Ein spiralförmiges Wachstum, das tiefe Weisheit nährt.","Una crescita a spirale che alimenta una saggezza profonda.","Paikot na pag-unlad na nagpapalago ng malalim na karunungan.","Um crescimento em espiral que nutre uma sabedoria profunda.","Derin bilgelik besleyen, sarmal biçimde ilerleyen bir gelişim.","نمو حلزوني يغذي حكمة عميقة.","En spiralformad utveckling som vårdar djup visdom.","Een spiraalvormige groei die diepe wijsheid voedt.","Spiralny rozwój, który pielęgnuje głęboką mądrość.","En spiralformet vekst som nærer dyp visdom.","Spirálisan kibontakozó növekedés, amely mély bölcsességet táplál.","צמיחה ספירלית המטפחת חוכמה עמוקה.","Спиралевидный рост, который взращивает глубокую мудрость.","Spiralinis augimas, puoselėjantis gilią išmintį."
"印","心に刻まれ、忘れられない大切な証","An indelible mark upon the heart, a precious proof never forgotten.","Una marca imborrable en el corazón, una prueba valiosa que nunca se olvida.","Une marque indélébile dans le cœur, une précieuse preuve qu’on n’oublie jamais.","Ein unauslöschliches Zeichen im Herzen, ein kostbarer Beweis, den man nie vergisst.","Un segno indelebile nel cuore, una preziosa prova che non si dimentica mai.","Hindi mabuburang bakas sa puso, mahalagang patunay na hindi nalilimutan.","Uma marca indelével no coração, uma prova preciosa que nunca se esquece.","Kalpte silinmez bir iz, asla unutulmayan değerli bir kanıt.","أثر لا يُمحى في القلب، دليل ثمين لا يُنسى أبدًا.","Ett outplånligt märke i hjärtat, ett dyrbart bevis man aldrig glömmer.","Een onuitwisbaar teken in het hart, een kostbaar bewijs dat men nooit vergeet.","Niezatarte znamię w sercu, cenny dowód, którego nigdy się nie zapomina.","Et uutslettelig merke i hjertet, et verdifullt bevis man aldri glemmer.","Kitörölhetetlen nyom a szívben, egy értékes bizonyíték, amely sosem felejtődik el.","סימן שלא נמחק בלב, הוכחה יקרת ערך שלא נשכחת לעולם.","Неизгладимый след в сердце, драгоценное доказательство, которое никогда не забывается.","Neištrinamas ženklas širdyje, brangus įrodymas, kuris niekada nepamirštamas."
"会","人と人を結び、出会いを広げる場","A place that connects people and expands encounters.","Un lugar que conecta a las personas y amplía los encuentros.","Un lieu qui relie les gens et multiplie les rencontres.","Ein Ort, der Menschen verbindet und Begegnungen erweitert.","Un luogo che mette in contatto le persone e amplia gli incontri.","Isang lugar na nag-uugnay sa mga tao at nagpapalawak ng mga pagkikita.","Um lugar que conecta pessoas e amplia os encontros.","İnsanları birleştiren ve karşılaşmaları çoğaltan bir yer.","مكان يصل بين الناس ويوسّع دائرة اللقاءات.","En plats som förenar människor och vidgar möjligheten till möten.","Een plaats die mensen met elkaar verbindt och ontmoetingen verruimt.","Miejsce, które łączy ludzi i poszerza krąg spotkań.","Et sted som knytter mennesker sammen og utvider muligheten for møter.","Hely, amely összeköti az embereket és tágítja a találkozások körét.","מקום המחבר בין אנשים ומרחיב את מעגל המפגשים.","Место, которое соединяет людей и расширяет встречи.","Vieta, jungianti žmones ir plečianti susitikimus."
"羅","広く網を張り、縁や可能性を集める力","The power to cast a wide net, gathering bonds and possibilities.","El poder de lanzar una amplia red y reunir lazos y posibilidades.","Le pouvoir de jeter un large filet, rassemblant liens et possibilités.","Die Kraft, ein weites Netz auszuwerfen und Bande wie Möglichkeiten zu sammeln.","Il potere di gettare una rete ampia, raccogliendo legami e possibilità.","Kapangyarihang maghagis ng malawak na lambat, na nagtitipon ng ugnayan at mga posibilidad.","O poder de lançar uma ampla rede, reunindo laços e possibilidades.","Bağları ve olasılıkları toplayan, geniş bir ağ atma gücü.","قوة إلقاء شبكة واسعة تجمع الروابط والإمكانات.","Kraften att kasta ut ett brett nät som samlar band och möjligheter.","De kracht om een wijd net uit te werpen en banden en mogelijkheden te verzamelen.","Siła zarzucania szerokiej sieci, która zbiera więzi i możliwości.","Kraften til å kaste et vidt nett og samle bånd og muligheter.","Az erő, amellyel széles hálót vetünk ki, összegyűjtve kapcsolatokat és lehetőségeket.","כוח לפרוש רשת רחבה האוספת קשרים ואפשרויות.","Сила закидывать широкую сеть, собирая узы и возможности.","Galia užmesti platų tinklą, telkiant ryšius ir galimybes."
"援","困難な時に手を差し伸べ、支えとなる優しさ","Kindness that extends a hand in hardship, becoming support.","Bondad que tiende la mano en los momentos difíciles y se convierte en apoyo.","Une bonté qui tend la main dans l’épreuve och devient un soutien.","Güte, die in schwierigen Zeiten die Hand reicht und zum Halt wird.","Una gentilezza che tende la mano nelle difficoltà e diventa sostegno.","Kabutihang loob na umaabot ng kamay sa panahon ng hirap at nagiging sandigan.","Uma bondade que estende a mão nas dificuldades e se torna apoio.","Zorluk anında el uzatan ve dayanak olan bir iyilik.","طيبة تمتد يدها في أوقات الشدة وتصبح سندًا.","En godhet som räcker ut en hand i svåra tider och blir till stöd.","Een vriendelijkheid die in moeilijke tijden een hand uitsteekt en tot steun wordt.","Życzliwość, która wyciąga rękę w trudnych chwilach i staje się oparciem.","En godhet som rekker ut en hånd i motgang og blir til støtte.","Jóság, amely nehéz időkben nyújt segítő kezet, és támaszt ad.","טוב לב המושיט יד בשעת קושי והופך למשענת.","Доброта, которая протягивает руку в трудные времена, становясь опорой.","Gerumas, ištiesiantis ranką sunkmečiu, tampa atrama."
"社","人々が集い、共に生きる場を築く象徴","A symbol of community, where people gather and live together.","Un símbolo de comunidad donde las personas se reúnen y viven juntas.","Un symbole de communauté où les gens se rassemblent et vivent ensemble.","Ein Symbol für Gemeinschaft, wo Menschen zusammenkommen und gemeinsam leben.","Un simbolo di comunità, dove le persone si incontrano e vivono insieme.","Isang sagisag ng pamayanan kung saan nagtitipon at magkasamang namumuhay ang mga tao.","Um símbolo de comunidade, onde as pessoas se reúnem e vivem juntas.","İnsanların bir araya gelip birlikte yaşadığı bir topluluğun simgesi.","رمز للمجتمع حيث يجتمع الناس ويعيشون معًا.","En symbol för gemenskap där människor samlas och lever tillsammans.","Een symbool van gemeenschap waar mensen samenkomen en samenleven.","Symbol wspólnoty, w której ludzie spotykają się i żyją razem.","Et symbol på fellesskap der mennesker samles og lever sammen.","A közösség jelképe, ahol az emberek összegyűlnek és együtt élnek.","סמל לקהילה שבה אנשים מתכנסים וחיים יחד.","Символ сообщества, где люди собираются и живут вместе.","Bendruomenės simbolis, kur žmonės renkasi ir gyvena kartu."
"練","技を磨き、努力を重ねて成長する姿勢","An attitude of honing skills, growing through persistent effort.","Una actitud de perfeccionar las habilidades y crecer mediante esfuerzo constante.","Une attitude de perfectionnement des compétences, grandissant par un effort persévérant.","Eine Haltung, die Fähigkeiten schärft und durch beständige Anstrengung wächst.","Un atteggiamento di affinare le capacità e crescere attraverso uno sforzo costante.","Pag-uugali ng paghasa ng kakayahan at paglago sa pamamagitan ng tuloy-tuloy na pagsisikap.","Uma atitude de lapidar habilidades e crescer por meio de esforço persistente.","Yetenekleri bileyen ve azimli çabayla gelişen bir tutum.","سلوك يقوم على صقل المهارات والنمو من خلال جهد متواصل.","En inställning som slipar färdigheter och växer genom ihärdigt arbete.","Een houding van vaardigheden aanscherpen en groeien door volhardende inspanning.","Postawa doskonalenia umiejętności i rozwoju dzięki wytrwałemu wysiłkowi.","En holdning der man skjerper ferdigheter og vokser gjennom vedvarende innsats.","Hozzáállás, amely a készségek csiszolásáról és a kitartó erőfeszítés általi fejlődésről szól.","גישה של ליטוש מיומנויות וצמיחה דרך מאמץ מתמשך.","Позиция оттачивания навыков, роста через упорные усилия.","Laikysena tobulinti įgūdžius, augti per nuolatines pastangas."
"美","美しさを大切にし、心に喜びを届ける存在","A presence that values beauty and brings joy to the heart.","Una presencia que valora la belleza y llena el corazón de alegría.","Une présence qui accorde de la valeur à la beauté et remplit le cœur de joie.","Eine Präsenz, die Schönheit schätzt och das Herz mit Freude erfüllt.","Una presenza che dà valore alla bellezza e riempie il cuore di gioia.","Presensiyang nagpapahalaga sa kagandahan at nagdudulot ng galak sa puso.","Uma presença que valoriza a beleza e traz alegria ao coração.","Güzelliği önemseyen ve kalbe sevinç getiren bir varlık.","حضور يقدّر الجمال ويملأ القلب بالفرح.","En närvaro som värdesätter skönhet och skänker hjärtat glädje.","Een aanwezigheid die schoonheid waardeert en het hart met vreugde vult.","Obecność, która ceni piękno i napełnia serce radością.","En tilstedeværelse som verdsetter skjønnhet og fyller hjertet med glede.","Jelenlét, amely értékeli a szépséget, és örömmel tölti meg a szívet.","נוכחות המעריכה יופי וממלאת את הלב בשמחה.","Присутствие, которое ценит красоту и приносит радость в сердце.","Buvimas, vertinantis grožį ir teikiantis džiaugsmą širdžiai."
